Transaction_ID,Date,Product_ID,Product,Category,Unit_Price,Region,Quantity,Discount_Pct,Sales_Amount,Customer_Segment,Payment_Method
TXN-10021,2025-11-05,PROD-105,Ergonomic Desk Chair,Furniture,350.0,Europe,15,0.05,4987.5,Consumer,Wire Transfer
TXN-10022,2025-12-22,PROD-109,Wireless Noise-Canceling Headset,Electronics,250.0,Asia-Pacific,3,0.2,600.0,Government,Credit Card
TXN-10023,2025-01-13,PROD-102,AI Analytics License,Software,850.0,Europe,10,0.1,7650.0,Enterprise,Wire Transfer
TXN-10024,2023-06-11,PROD-110,Server Rack Server X1,Hardware,3200.0,North America,1,0.15,2720.0,Small & Medium Business,Wire Transfer
TXN-10025,2023-12-05,PROD-108,Standing Executive Desk,Furniture,750.0,Middle East & Africa,8,0.2,4800.0,Government,Wire Transfer
TXN-10026,2024-02-16,PROD-109,Wireless Noise-Canceling Headset,Electronics,250.0,Latin America,8,0.1,1800.0,Consumer,PayPal
TXN-10027,2025-07-13,PROD-109,Wireless Noise-Canceling Headset,Electronics,250.0,Europe,1,0.05,237.5,Enterprise,Corporate Invoice
TXN-10028,2024-04-16,PROD-101,Enterprise Cloud Suite,Software,1200.0,North America,5,0.05,5700.0,Enterprise,Credit Card
TXN-10029,2023-05-19,PROD-104,Ultra-Wide Monitor 34,Hardware,600.0,North America,1,0.1,540.0,Small & Medium Business,Corporate Invoice
TXN-10030,2024-03-14,PROD-108,Standing Executive Desk,Furniture,750.0,Middle East & Africa,5,0.05,3562.5,Government,Wire Transfer
TXN-10031,2025-04-13,PROD-108,Standing Executive Desk,Furniture,750.0,North America,2,0.0,1500.0,Government,Corporate Invoice
TXN-10032,2025-04-21,PROD-107,Cybersecurity Gateway,Software,1100.0,North America,4,0.0,4400.0,Enterprise,PayPal
TXN-10033,2023-08-12,PROD-106,Smart Conference Hub,Electronics,950.0,Europe,2,0.05,1805.0,Government,Wire Transfer
TXN-10034,2024-01-11,PROD-107,Cybersecurity Gateway,Software,1100.0,Europe,3,0.15,2805.0,Enterprise,PayPal
TXN-10035,2023-07-20,PROD-109,Wireless Noise-Canceling Headset,Electronics,250.0,North America,1,0.2,200.0,Enterprise,Wire Transfer
TXN-10036,2025-04-12,PROD-103,Pro Workstation Laptop,Hardware,1500.0,Europe,4,0.15,5100.0,Government,Credit Card
TXN-10037,2025-02-15,PROD-103,Pro Workstation Laptop,Hardware,1500.0,Asia-Pacific,1,0.15,1275.0,Government,Corporate Invoice
TXN-10038,2025-09-23,PROD-107,Cybersecurity Gateway,Software,1100.0,Asia-Pacific,2,0.05,2090.0,Small & Medium Business,Credit Card
TXN-10039,2023-05-05,PROD-110,Server Rack Server X1,Hardware,3200.0,North America,8,0.1,23040.0,Enterprise,PayPal
TXN-10040,2025-12-23,PROD-109,Wireless Noise-Canceling Headset,Electronics,250.0,Middle East & Africa,5,0.0,1250.0,Enterprise,Wire Transfer
TXN-10041,2023-05-20,PROD-102,AI Analytics License,Software,850.0,Latin America,8,0.05,6460.0,Enterprise,Wire Transfer
TXN-10042,2023-03-23,PROD-110,Server Rack Server X1,Hardware,3200.0,Latin America,5,0.0,16000.0,Consumer,Corporate Invoice
TXN-10043,2024-10-05,PROD-104,Ultra-Wide Monitor 34,Hardware,600.0,Latin America,2,0.1,1080.0,Small & Medium Business,Corporate Invoice
TXN-10044,2024-10-09,PROD-108,Standing Executive Desk,Furniture,750.0,North America,10,0.0,7500.0,Government,Credit Card
TXN-10045,2024-03-12,PROD-102,AI Analytics License,Software,850.0,Europe,5,0.1,3825.0,Consumer,Credit Card
TXN-10046,2025-01-26,PROD-104,Ultra-Wide Monitor 34,Hardware,600.0,Latin America,3,0.05,1710.0,Consumer,Credit Card
TXN-10047,2024-09-05,PROD-109,Wireless Noise-Canceling Headset,Electronics,250.0,Europe,8,0.0,2000.0,Consumer,Credit Card
TXN-10048,2023-11-15,PROD-102,AI Analytics License,Software,850.0,Middle East & Africa,8,0.1,6120.0,Small & Medium Business,Corporate Invoice
TXN-10049,2024-06-24,PROD-104,Ultra-Wide Monitor 34,Hardware,600.0,Asia-Pacific,5,0.15,2550.0,Enterprise,Credit Card
TXN-10050,2024-07-20,PROD-107,Cybersecurity Gateway,Software,1100.0,Asia-Pacific  ,1,0.0,1100.0,Small & Medium Business,
TXN-10051,2025-06-23,PROD-103,Pro Workstation Laptop,Hardware,1500.0,Middle East & Africa,5,0.15,6375.0,Enterprise,Credit Card
TXN-10052,2023-11-02,PROD-102,AI Analytics License,Software,850.0,Asia-Pacific,15,0.0,12750.0,Small & Medium Business,PayPal
TXN-10053,2023-03-27,PROD-103,Pro Workstation Laptop,Hardware,1500.0,North America,3,0.1,4050.0,Consumer,Wire Transfer
TXN-10054,2023-07-30,PROD-104,Ultra-Wide Monitor 34,Hardware,600.0,Latin America,3,0.2,1440.0,Small & Medium Business,Wire Transfer
TXN-10055,2023-12-29,PROD-103,Pro Workstation Laptop,Hardware,1500.0,Europe,10,0.0,15000.0,Consumer,PayPal
TXN-10056,2024-06-30,PROD-104,Ultra-Wide Monitor 34,Hardware,600.0,Latin America,2,0.0,1200.0,Enterprise,PayPal
TXN-10057,2024-02-13,PROD-104,Ultra-Wide Monitor 34,Hardware,600.0,Asia-Pacific,10,0.15,5100.0,Consumer,Wire Transfer
TXN-10058,2023-02-18,PROD-104,Ultra-Wide Monitor 34,Hardware,600.0,Latin America,8,0.05,4560.0,Consumer,Corporate Invoice
TXN-10059,2024-07-25,PROD-102,AI Analytics License,Software,850.0,Latin America,3,0.2,2040.0,Consumer,Credit Card
TXN-10060,2024-06-18,PROD-102,AI Analytics License,Software,850.0,Asia-Pacific,2,0.2,1360.0,Enterprise,Credit Card
TXN-10061,2025-06-08,PROD-110,Server Rack Server X1,Hardware,3200.0,Latin America,3,0.1,8640.0,Enterprise,PayPal
TXN-10062,2024-01-25,PROD-110,Server Rack Server X1,Hardware,3200.0,Latin America,3,0.0,9600.0,Enterprise,Wire Transfer
TXN-10063,2025-06-02,PROD-106,Smart Conference Hub,Electronics,950.0,Middle East & Africa,1,0.1,855.0,Consumer,Credit Card
TXN-10064,2025-11-04,PROD-105,Ergonomic Desk Chair,Furniture,350.0,Asia-Pacific,8,0.15,2380.0,Government,Corporate Invoice
TXN-10065,2023-09-18,PROD-109,Wireless Noise-Canceling Headset,Electronics,250.0,Latin America,2,0.15,425.0,Small & Medium Business,Corporate Invoice
TXN-10066,2023-01-01,PROD-107,Cybersecurity Gateway,Software,1100.0,Europe,3,0.1,2970.0,Government,Corporate Invoice
TXN-10067,2025-06-23,PROD-108,Standing Executive Desk,Furniture,750.0,Middle East & Africa,4,0.05,2850.0,Government,Wire Transfer
TXN-10068,2024-08-04,PROD-102,AI Analytics License,Software,850.0,Asia-Pacific,5,0.2,3400.0,Enterprise,Wire Transfer
TXN-10069,2024-04-05,PROD-105,Ergonomic Desk Chair,Furniture,350.0,Europe,10,0.05,3325.0,Enterprise,Credit Card
TXN-10070,2025-08-31,PROD-104,Ultra-Wide Monitor 34,Hardware,600.0,Latin America,5,0.0,3000.0,Government,Wire Transfer
TXN-10071,2025-10-09,PROD-107,Cybersecurity Gateway,Software,1100.0,Europe,4,0.05,4180.0,Enterprise,Credit Card
TXN-10072,2024-03-24,PROD-107,Cybersecurity Gateway,Software,1100.0,Latin America,2,0.2,1760.0,Enterprise,Wire Transfer
TXN-10073,2025-07-23,PROD-102,AI Analytics License,Software,850.0,Middle East & Africa,2,0.15,1445.0,Consumer,PayPal
TXN-10074,2025-10-30,PROD-110,Server Rack Server X1,Hardware,3200.0,Latin America,4,0.2,10240.0,Small & Medium Business,PayPal
TXN-10075,2024-06-14,PROD-108,Standing Executive Desk,Furniture,750.0,Asia-Pacific,10,0.05,7125.0,Government,Wire Transfer
TXN-10076,2025-06-19,PROD-105,Ergonomic Desk Chair,Furniture,350.0,Europe,1,0.1,315.0,Consumer,Corporate Invoice
TXN-10077,2023-06-15,PROD-106,Smart Conference Hub,Electronics,950.0,Europe,2,0.05,1805.0,Government,Wire Transfer
TXN-10078,2023-05-12,PROD-104,Ultra-Wide Monitor 34,Hardware,600.0,Asia-Pacific,4,0.15,2040.0,Government,PayPal
TXN-10079,2024-02-28,PROD-101,Enterprise Cloud Suite,Software,1200.0,Latin America,10,0.15,10200.0,Enterprise,PayPal
TXN-10080,2023-01-13,PROD-108,Standing Executive Desk,Furniture,750.0,Latin America,3,0.1,2025.0,Government,Wire Transfer
TXN-10081,2024-03-25,PROD-108,Standing Executive Desk,Furniture,750.0,Latin America,3,0.15,1912.5,Enterprise,PayPal
TXN-10082,2025-04-08,PROD-106,Smart Conference Hub,Electronics,950.0,Latin America,8,0.05,7220.0,Small & Medium Business,Credit Card
TXN-10083,2023-02-25,PROD-107,Cybersecurity Gateway,Software,1100.0,Europe,1,0.15,935.0,Government,Wire Transfer
TXN-10084,2024-06-16,PROD-101,Enterprise Cloud Suite,Software,1200.0,Europe,4,0.1,4320.0,Government,Corporate Invoice
TXN-10085,2025-02-15,PROD-106,Smart Conference Hub,Electronics,950.0,Asia-Pacific,3,0.15,2422.5,Enterprise,PayPal
TXN-10086,2023-04-17,PROD-101,Enterprise Cloud Suite,Software,1200.0,North America,3,0.05,3420.0,Enterprise,Credit Card
TXN-10087,2024-02-13,PROD-104,Ultra-Wide Monitor 34,Hardware,600.0,Middle East & Africa,10,0.0,6000.0,Small & Medium Business,Wire Transfer
TXN-10088,2025-08-27,PROD-103,Pro Workstation Laptop,Hardware,1500.0,Middle East & Africa,8,0.0,12000.0,Small & Medium Business,PayPal
TXN-10089,2025-01-25,PROD-105,Ergonomic Desk Chair,Furniture,350.0,Middle East & Africa,2,0.2,560.0,Enterprise,Wire Transfer
TXN-10090,2023-08-10,PROD-105,Ergonomic Desk Chair,Furniture,350.0,Asia-Pacific,5,0.0,1750.0,Government,PayPal
TXN-10091,2023-06-05,PROD-104,Ultra-Wide Monitor 34,Hardware,600.0,North America,5,0.05,2850.0,Consumer,Credit Card
TXN-10092,2023-03-26,PROD-110,Server Rack Server X1,Hardware,3200.0,Latin America,3,0.2,7680.0,Consumer,Credit Card
TXN-10093,2024-11-29,PROD-109,Wireless Noise-Canceling Headset,Electronics,250.0,Latin America,3,0.15,637.5,Enterprise,PayPal
TXN-10094,2025-07-30,PROD-106,Smart Conference Hub,Electronics,950.0,Latin America,8,0.05,7220.0,Small & Medium Business,Corporate Invoice
TXN-10095,2025-09-17,PROD-110,Server Rack Server X1,Hardware,3200.0,Middle East & Africa,4,0.15,10880.0,Consumer,Corporate Invoice
TXN-10096,2023-06-27,PROD-104,Ultra-Wide Monitor 34,Hardware,600.0,Europe,3,0.15,1530.0,Government,PayPal
TXN-10097,2023-02-28,PROD-106,Smart Conference Hub,Electronics,950.0,Europe,4,0.1,3420.0,Government,Wire Transfer
TXN-10098,2024-06-13,PROD-106,Smart Conference Hub,Electronics,950.0,Middle East & Africa,3,0.1,2565.0,Consumer,Credit Card
TXN-10099,2024-01-27,PROD-109,Wireless Noise-Canceling Headset,Electronics,250.0,Latin America,1,0.05,237.5,Government,Wire Transfer
TXN-10100,2025-10-02,PROD-108,Standing Executive Desk,Furniture,750.0,North America,4,0.0,3000.0,Consumer,Wire Transfer
TXN-10101,2024-05-13,PROD-107,Cybersecurity Gateway,Software,1100.0,Asia-Pacific,3,0.2,2640.0,Government,Corporate Invoice
TXN-10102,2024-11-08,PROD-107,Cybersecurity Gateway,Software,1100.0,Asia-Pacific  ,8,0.15,7480.0,Consumer,
TXN-10103,2023-09-05,PROD-104,Ultra-Wide Monitor 34,Hardware,600.0,Asia-Pacific,8,0.05,4560.0,Enterprise,Wire Transfer
TXN-10104,2024-03-19,PROD-104,Ultra-Wide Monitor 34,Hardware,600.0,Asia-Pacific,8,0.15,4080.0,Consumer,Credit Card
TXN-10105,2024-08-29,PROD-104,Ultra-Wide Monitor 34,Hardware,600.0,Europe,2,0.1,1080.0,Consumer,Credit Card
TXN-10106,2023-09-17,PROD-109,Wireless Noise-Canceling Headset,Electronics,250.0,North America,3,0.0,750.0,Consumer,Wire Transfer
TXN-10107,2023-07-30,PROD-108,Standing Executive Desk,Furniture,750.0,Middle East & Africa,10,0.0,7500.0,Consumer,PayPal
TXN-10108,2025-06-21,PROD-108,Standing Executive Desk,Furniture,750.0,North America,3,0.05,2137.5,Consumer,PayPal
TXN-10109,2023-05-14,PROD-102,AI Analytics License,Software,850.0,North America,4,0.15,2890.0,Enterprise,Wire Transfer
TXN-10110,2024-09-14,PROD-103,Pro Workstation Laptop,Hardware,1500.0,North America  ,1,0.05,1425.0,Government,
TXN-10111,2025-02-18,PROD-109,Wireless Noise-Canceling Headset,Electronics,250.0,Asia-Pacific,4,0.15,850.0,Government,Corporate Invoice
TXN-10112,2023-05-04,PROD-110,Server Rack Server X1,Hardware,3200.0,Europe,5,0.0,16000.0,Small & Medium Business,Corporate Invoice
TXN-10113,2023-11-18,PROD-102,AI Analytics License,Software,850.0,Middle East & Africa,5,0.05,4037.5,Enterprise,Wire Transfer
TXN-10114,2025-04-16,PROD-101,Enterprise Cloud Suite,Software,1200.0,Latin America,4,0.2,3840.0,Consumer,Credit Card
TXN-10115,2024-08-13,PROD-104,Ultra-Wide Monitor 34,Hardware,600.0,Latin America,8,0.1,4320.0,Enterprise,Wire Transfer
TXN-10116,2024-02-10,PROD-105,Ergonomic Desk Chair,Furniture,350.0,Middle East & Africa,4,0.0,1400.0,Small & Medium Business,Wire Transfer
TXN-10117,2023-10-19,PROD-105,Ergonomic Desk Chair,Furniture,350.0,Europe,1,0.0,350.0,Consumer,Corporate Invoice
TXN-10118,2023-09-12,PROD-108,Standing Executive Desk,Furniture,750.0,Latin America,4,0.1,2700.0,Consumer,PayPal
TXN-10119,2023-06-14,PROD-108,Standing Executive Desk,Furniture,750.0,Latin America,5,0.0,3750.0,Consumer,Corporate Invoice
TXN-10120,2023-07-07,PROD-101,Enterprise Cloud Suite,Software,1200.0,Middle East & Africa,2,0.2,1920.0,Enterprise,Corporate Invoice
TXN-10121,2023-03-24,PROD-110,Server Rack Server X1,Hardware,3200.0,Latin America,10,0.05,30400.0,Government,Corporate Invoice
TXN-10122,2025-06-11,PROD-103,Pro Workstation Laptop,Hardware,1500.0,North America,8,0.15,10200.0,Government,Corporate Invoice
TXN-10123,2024-11-13,PROD-107,Cybersecurity Gateway,Software,1100.0,Europe,8,0.0,8800.0,Consumer,PayPal
TXN-10124,2024-08-13,PROD-108,Standing Executive Desk,Furniture,750.0,Middle East & Africa,8,0.15,5100.0,Enterprise,PayPal
TXN-10125,2024-10-06,PROD-102,AI Analytics License,Software,850.0,North America,3,0.1,2295.0,Government,Credit Card
TXN-10126,2025-08-04,PROD-109,Wireless Noise-Canceling Headset,Electronics,250.0,Europe,4,0.0,1000.0,Consumer,PayPal
TXN-10127,2023-04-16,PROD-108,Standing Executive Desk,Furniture,750.0,Middle East & Africa,2,0.1,1350.0,Small & Medium Business,Corporate Invoice
TXN-10128,2025-09-19,PROD-108,Standing Executive Desk,Furniture,750.0,Middle East & Africa,1,0.0,750.0,Small & Medium Business,Wire Transfer
TXN-10129,2023-01-29,PROD-105,Ergonomic Desk Chair,Furniture,350.0,North America,5,0.15,1487.5,Small & Medium Business,Credit Card
TXN-10130,2023-08-29,PROD-108,Standing Executive Desk,Furniture,750.0,Latin America,8,0.05,5700.0,Consumer,Corporate Invoice
TXN-10131,2025-09-15,PROD-107,Cybersecurity Gateway,Software,1100.0,Latin America,4,0.05,4180.0,Small & Medium Business,PayPal
TXN-10132,2025-11-06,PROD-104,Ultra-Wide Monitor 34,Hardware,600.0,North America,20,0.05,11400.0,Consumer,PayPal
TXN-10133,2025-11-05,PROD-106,Smart Conference Hub,Electronics,950.0,Asia-Pacific,8,0.0,7600.0,Consumer,PayPal
TXN-10134,2025-07-03,PROD-103,Pro Workstation Laptop,Hardware,1500.0,Asia-Pacific,5,0.15,6375.0,Consumer,PayPal
TXN-10135,2024-10-21,PROD-108,Standing Executive Desk,Furniture,750.0,Europe,10,0.05,7125.0,Government,Wire Transfer
TXN-10136,2023-03-31,PROD-107,Cybersecurity Gateway,Software,1100.0,Latin America,3,0.15,2805.0,Government,Wire Transfer
TXN-10137,2023-03-17,PROD-108,Standing Executive Desk,Furniture,750.0,Middle East & Africa,2,0.2,1200.0,Consumer,Credit Card
TXN-10138,2023-07-24,PROD-108,Standing Executive Desk,Furniture,750.0,North America,5,0.15,3187.5,Small & Medium Business,PayPal
TXN-10139,2023-06-03,PROD-103,Pro Workstation Laptop,Hardware,1500.0,Asia-Pacific,4,0.1,5400.0,Government,Credit Card
TXN-10140,2025-12-28,PROD-106,Smart Conference Hub,Electronics,950.0,Latin America,10,0.1,8550.0,Enterprise,Credit Card
TXN-10141,2024-08-11,PROD-104,Ultra-Wide Monitor 34,Hardware,600.0,Latin America,2,0.0,1200.0,Enterprise,Credit Card
TXN-10142,2023-12-07,PROD-108,Standing Executive Desk,Furniture,750.0,North America,20,0.1,13500.0,Enterprise,Corporate Invoice
TXN-10143,2024-08-23,PROD-101,Enterprise Cloud Suite,Software,1200.0,Latin America,3,0.1,3240.0,Small & Medium Business,Wire Transfer
TXN-10144,2025-04-23,PROD-109,Wireless Noise-Canceling Headset,Electronics,250.0,Europe,5,0.05,1187.5,Small & Medium Business,Credit Card
TXN-10145,2025-02-22,PROD-110,Server Rack Server X1,Hardware,3200.0,Latin America,5,0.05,15200.0,Small & Medium Business,Wire Transfer
TXN-10146,2024-06-04,PROD-108,Standing Executive Desk,Furniture,750.0,North America,4,0.1,2700.0,Government,Corporate Invoice
TXN-10147,2023-11-20,PROD-109,Wireless Noise-Canceling Headset,Electronics,250.0,Asia-Pacific,3,0.15,637.5,Consumer,PayPal
TXN-10148,2025-07-24,PROD-105,Ergonomic Desk Chair,Furniture,350.0,Europe,10,0.1,3150.0,Government,PayPal
TXN-10149,2024-04-30,PROD-102,AI Analytics License,Software,850.0,Asia-Pacific,4,0.2,2720.0,Consumer,Corporate Invoice
TXN-10150,2025-03-21,PROD-101,Enterprise Cloud Suite,Software,1200.0,Middle East & Africa,3,0.0,3600.0,Enterprise,PayPal
TXN-10151,2024-04-16,PROD-105,Ergonomic Desk Chair,Furniture,350.0,Europe,5,0.1,1575.0,Small & Medium Business,Corporate Invoice
TXN-10152,2023-07-18,PROD-103,Pro Workstation Laptop,Hardware,1500.0,Asia-Pacific,8,0.0,12000.0,Government,Credit Card
TXN-10153,2025-01-17,PROD-110,Server Rack Server X1,Hardware,3200.0,North America,8,0.05,24320.0,Consumer,Corporate Invoice
TXN-10154,2023-12-26,PROD-107,Cybersecurity Gateway,Software,1100.0,Middle East & Africa,5,0.05,5225.0,Consumer,Corporate Invoice
TXN-10155,2024-06-10,PROD-103,Pro Workstation Laptop,Hardware,1500.0,Asia-Pacific,10,0.15,12750.0,Consumer,Credit Card
TXN-10156,2023-06-04,PROD-108,Standing Executive Desk,Furniture,750.0,Latin America  ,2,0.05,1425.0,Consumer,Credit Card
TXN-10157,2023-01-29,PROD-107,Cybersecurity Gateway,Software,1100.0,North America,3,0.2,2640.0,Government,Corporate Invoice
TXN-10158,2025-02-19,PROD-105,Ergonomic Desk Chair,Furniture,350.0,North America,10,0.1,3150.0,Small & Medium Business,PayPal
TXN-10159,2024-11-02,PROD-101,Enterprise Cloud Suite,Software,1200.0,North America,15,0.05,17100.0,Government,Corporate Invoice
TXN-10160,2023-08-27,PROD-107,Cybersecurity Gateway,Software,1100.0,North America,2,0.0,2200.0,Consumer,PayPal
TXN-10161,2023-07-19,PROD-102,AI Analytics License,Software,850.0,Europe,2,0.2,1360.0,Government,PayPal
TXN-10162,2025-05-08,PROD-106,Smart Conference Hub,Electronics,950.0,Latin America,5,0.05,4512.5,Enterprise,PayPal
TXN-10163,2025-04-15,PROD-110,Server Rack Server X1,Hardware,3200.0,Asia-Pacific,3,0.0,9600.0,Small & Medium Business,PayPal
TXN-10164,2024-04-28,PROD-108,Standing Executive Desk,Furniture,750.0,North America,10,0.1,6750.0,Consumer,Corporate Invoice
TXN-10165,2025-03-26,PROD-101,Enterprise Cloud Suite,Software,1200.0,North America,3,0.05,3420.0,Government,Credit Card
TXN-10166,2023-02-13,PROD-104,Ultra-Wide Monitor 34,Hardware,600.0,Europe,1,0.1,540.0,Small & Medium Business,Wire Transfer
TXN-10167,2024-02-29,PROD-102,AI Analytics License,Software,850.0,Europe,5,0.05,4037.5,Consumer,Wire Transfer
TXN-10168,2023-01-06,PROD-110,Server Rack Server X1,Hardware,3200.0,Europe,3,0.05,9120.0,Consumer,Wire Transfer
TXN-10169,2023-02-22,PROD-102,AI Analytics License,Software,850.0,Asia-Pacific,2,0.0,1700.0,Small & Medium Business,Corporate Invoice
TXN-10170,2023-12-23,PROD-101,Enterprise Cloud Suite,Software,1200.0,Europe,8,0.0,9600.0,Government,Credit Card
TXN-10171,2025-09-02,PROD-102,AI Analytics License,Software,850.0,Middle East & Africa,4,0.1,3060.0,Enterprise,PayPal
TXN-10172,2024-03-29,PROD-109,Wireless Noise-Canceling Headset,Electronics,250.0,Middle East & Africa,5,0.0,1250.0,Consumer,PayPal
TXN-10173,2023-05-05,PROD-101,Enterprise Cloud Suite,Software,1200.0,Latin America,4,0.15,4080.0,Enterprise,PayPal
TXN-10174,2023-05-31,PROD-108,Standing Executive Desk,Furniture,750.0,Middle East & Africa,1,0.1,675.0,Small & Medium Business,Credit Card
TXN-10175,2024-07-17,PROD-103,Pro Workstation Laptop,Hardware,1500.0,Middle East & Africa,5,0.2,6000.0,Consumer,PayPal
TXN-10176,2025-12-22,PROD-110,Server Rack Server X1,Hardware,3200.0,Middle East & Africa,8,0.15,21760.0,Government,Credit Card
TXN-10177,2024-03-16,PROD-102,AI Analytics License,Software,850.0,Europe,4,0.15,2890.0,Government,Corporate Invoice
TXN-10178,2025-03-27,PROD-108,Standing Executive Desk,Furniture,750.0,Asia-Pacific,4,0.0,3000.0,Government,Corporate Invoice
TXN-10179,2025-02-05,PROD-105,Ergonomic Desk Chair,Furniture,350.0,North America,2,0.15,595.0,Enterprise,Credit Card
TXN-10180,2025-06-03,PROD-102,AI Analytics License,Software,850.0,Europe,1,0.1,765.0,Enterprise,Corporate Invoice
TXN-10181,2025-04-21,PROD-102,AI Analytics License,Software,850.0,North America,3,0.15,2167.5,Consumer,Corporate Invoice
TXN-10182,2023-08-01,PROD-106,Smart Conference Hub,Electronics,950.0,Europe,5,0.2,3800.0,Small & Medium Business,PayPal
TXN-10183,2023-08-10,PROD-104,Ultra-Wide Monitor 34,Hardware,600.0,Asia-Pacific,3,0.2,1440.0,Enterprise,Corporate Invoice
TXN-10184,2024-04-08,PROD-110,Server Rack Server X1,Hardware,3200.0,Middle East & Africa,10,0.15,27200.0,Enterprise,Corporate Invoice
TXN-10185,2024-01-05,PROD-101,Enterprise Cloud Suite,Software,1200.0,Asia-Pacific,3,0.1,3240.0,Consumer,Credit Card
TXN-10186,2023-10-21,PROD-103,Pro Workstation Laptop,Hardware,1500.0,North America,5,0.15,6375.0,Small & Medium Business,Credit Card
TXN-10187,2025-12-22,PROD-102,AI Analytics License,Software,850.0,Latin America,5,0.15,3612.5,Government,Corporate Invoice
TXN-10188,2025-01-27,PROD-103,Pro Workstation Laptop,Hardware,1500.0,Middle East & Africa,3,0.1,4050.0,Enterprise,Credit Card
TXN-10189,2023-11-19,PROD-103,Pro Workstation Laptop,Hardware,1500.0,North America,15,0.0,22500.0,Consumer,PayPal
TXN-10190,2025-09-21,PROD-107,Cybersecurity Gateway,Software,1100.0,Latin America,5,0.15,4675.0,Consumer,Wire Transfer
TXN-10191,2023-08-22,PROD-109,Wireless Noise-Canceling Headset,Electronics,250.0,North America,3,0.15,637.5,Consumer,PayPal
TXN-10192,2024-09-23,PROD-109,Wireless Noise-Canceling Headset,Electronics,250.0,Latin America,1,0.05,237.5,Enterprise,Credit Card
TXN-10193,2024-09-09,PROD-104,Ultra-Wide Monitor 34,Hardware,600.0,Asia-Pacific,2,0.05,1140.0,Consumer,Corporate Invoice
TXN-10194,2023-01-16,PROD-102,AI Analytics License,Software,850.0,Europe,4,0.15,2890.0,Small & Medium Business,PayPal
TXN-10195,2024-04-16,PROD-109,Wireless Noise-Canceling Headset,Electronics,250.0,Asia-Pacific,5,0.2,1000.0,Enterprise,PayPal
TXN-10196,2025-06-12,PROD-101,Enterprise Cloud Suite,Software,1200.0,North America,1,0.15,1020.0,Consumer,PayPal
TXN-10197,2025-04-08,PROD-110,Server Rack Server X1,Hardware,3200.0,Asia-Pacific,8,0.15,21760.0,Enterprise,PayPal
TXN-10198,2024-10-27,PROD-101,Enterprise Cloud Suite,Software,1200.0,Latin America,2,0.2,1920.0,Consumer,Credit Card
TXN-10199,2023-08-05,PROD-107,Cybersecurity Gateway,Software,1100.0,Middle East & Africa,2,0.15,1870.0,Government,Credit Card
